Escenario de Política;ID Municipio;Municipio;Valor Final Vivienda Regional;Promedio Valor Vivienda Regional
Pol:All (C0);12002;Aín;36185,854;18500,00097590362
Pol:Buy (C0);12002;Aín;37193,42;18477,145807228913
Pol:None (C0);12002;Aín;37372,226;18513,16239759036
Pol:Wage (C0);12002;Aín;35821,347;17735,032084337352
Pol:All (C0);39057;Ramales de la Victoria;584582,024;259199,4781807229
Pol:Buy (C0);39057;Ramales de la Victoria;610276,57;273651,66573493974
Pol:None (C0);39057;Ramales de la Victoria;622753,946;270896,5835421686
Pol:Wage (C0);39057;Ramales de la Victoria;602829,553;260098,6302168675
Pol:All (C0);10201;Valdemorales;398048,383;221945,4192530121
Pol:Buy (C0);10201;Valdemorales;387054,202;226469,8359759036
Pol:None (C0);10201;Valdemorales;351692,088;203824,0404216868
Pol:Wage (C0);10201;Valdemorales;420738,605;229928,18908433733
Pol:All (C0);39102;Voto;448070,488;332357,2753012048
Pol:Buy (C0);39102;Voto;449643,137;334456,69819277106
Pol:None (C0);39102;Voto;453572,394;338693,40020481934
Pol:Wage (C0);39102;Voto;454124,647;335319,22490361443
